SIZE,FUEL,DISTANCE,DESIBEL,AIRFLOW,FREQUENCY,BOS,Operation_Code,STATUS
4,kerosene,,95,5.8,60,273.25,71053,0
6,lpg,50,106,,22,297.3,84406B,1
4,thinner,160,105,4.4,36,304.75,35970,0
6,lpg,90,102,0,68,272.1,47559b,0
1,gasoline,180,87,2.8,5,225.85,47580,0
2,thinner,170,76,0,1,225.8,47591d,0
2,kerosene,80,75,0,1,217.25,22633,0
3,thinner,150,102,3.7,48,260.1,22632,0
1,kerosene,10,91,12.9,9,233.05,84879,1
2,gasoline,70,102,2.8,66,302.1,22745,0
4,kerosene,110,108,7.8,38,298.4,22748,0
3,kerosene,60,105,12.5,50,310.75,22749,1
3,kerosene,140,92,5.3,18,263.6,22310,0
2,gasoline,140,89,5.6,15,231.95,84969,1
2,kerosene,90,102,0,68,286.1,22623,0
5,kerosene,80,106,11.6,40,272.3,22622,1
7,lpg,90,106,12.5,,311.3,21754,1
4,kerosene,70,80,3.8,2,235,21755,0
2,kerosene,110,92,4.9,10,266.6,21777,1
6,lpg,180,105,1.1,65,267.75,48187,0
2,gasoline,30,112,16,46,294.6,22960,1
5,thinner,110,74,0,1,223.7,22913,0
3,gasoline,70,106,13,34,300.3,22912,1
4,kerosene,180,92,1.7,11,264.6,22914,0
1,thinner,80,95,5.8,60,257.25,21756,0
7,lpg,20,92,13.2,21,273.6,22728,1
1,thinner,40,94,13.9,51,248.7,22727,1
2,thinner,180,104,0,75,269.2,22726,0
1,kerosene,110,104,6.7,46,298.2,21724,0
3,kerosene,100,103,6.5,23,312.65,21883,1
5,kerosene,120,104,6.7,42,305.2,10002,0
1,thinner,60,108,14.2,45,280.4,21791,1
3,thinner,150,91,4.3,23,245.05,21035,0
3,thinner,170,94,2.7,50,283.7,22326,0
4,thinner,40,87,11.2,6,265.85,22629,1
5,thinner,60,85,5.8,3,235.75,22659,0
6,lpg,150,89,3.4,19,235.95,22631,1
1,thinner,40,109,14.9,35,319.95,22661,1
4,kerosene,140,92,5.2,16,243.6,21731,0
2,thinner,30,107,12.3,24,283.85,22900,1
4,thinner,180,95,2.7,50,257.25,21913,0
1,kerosene,120,89,3.9,9,226.95,22540,1
4,gasoline,20,96,4,67,277.8,22544,0
3,thinner,100,87,8.5,17,230.85,22492,1
1,kerosene,90,85,4.4,3,231.75,POST,1
5,kerosene,20,87,7.8,4,264.85,22086,1
3,kerosene,30,106,14.8,50,283.3,22632,1
1,kerosene,130,105,3.7,52,273.75,22633,0
1,kerosene,70,104,10.9,21,275.2,85123A,1
1,thinner,190,96,0,66,267.8,71053,0
1,gasoline,110,106,7.7,40,294.3,84406B,1
4,gasoline,20,80,5,3,250,20679,0
6,lpg,40,106,13.5,26,317.3,37370,1
3,thinner,80,96,0,75,283.8,21871,0
5,gasoline,140,89,5.6,15,261.95,21071,0
4,kerosene,70,105,12.2,47,306.75,21068,1
3,kerosene,30,92,13.2,33,258.6,82483,1
3,kerosene,140,96,4.6,44,273.8,82486,0
3,gasoline,180,91,3.2,22,262.05,82482,0
6,lpg,140,91,4.3,23,266.05,82494L,1
3,gasoline,180,102,2.5,51,267.1,84029G,0
4,gasoline,110,107,8.9,35,288.85,84029E,0
5,thinner,50,106,12.5,22,301.3,22752,1
4,kerosene,70,106,12.6,32,296.3,21730,1
4,thinner,150,91,2.8,8,265.05,21258,0
5,kerosene,120,96,2.2,65,265.8,85123A,0
2,kerosene,160,92,5.7,24,264.6,71053,0
2,kerosene,180,94,3.8,28,266.7,84406B,0
4,gasoline,190,96,0,70,256.8,20679,0
1,kerosene,60,105,12.2,23,273.75,37370,1
1,kerosene,120,103,8.5,33,276.65,21871,1
3,thinner,160,93,4.9,25,246.15,21071,0
5,thinner,40,106,14.5,32,272.3,21068,1
5,kerosene,80,102,0,70,264.1,82483,0
1,thinner,110,91,9.3,14,268.05,82486,1
5,thinner,190,91,2.5,20,279.05,82482,0
1,gasoline,10,92,12.5,11,271.6,82494L,1
4,gasoline,20,96,0,72,291.8,84029G,0
1,gasoline,80,103,9,50,300.65,84029E,1
3,gasoline,40,107,,47,320.85,22752,1
2,gasoline,30,88,11.9,22,261.4,21730,1
7,lpg,120,103,8.2,34,267.65,22114,0
4,kerosene,30,86,7.4,3,259.3,21733,0
4,thinner,80,106,12.3,36,299.3,22632,1
4,kerosene,50,90,11,14,243.5,22633,1
1,kerosene,170,91,2.1,9,271.05,22386,0
7,lpg,150,105,0,70,284.75,85099C,0
3,gasoline,130,88,5.3,7,262.4,21033,0
4,thinner,190,86,2.2,5,220.3,20723,0
2,gasoline,110,74,0,1,230.7,84997B,0
7,lpg,140,105,4,42,294.75,84997C,0
2,gasoline,-100,90,4.4,15,247.5,21094,1
1,thinner,80,110,11.6,38,319.5,20725,1
3,thinner,150,97,0,75,289.35,21559,0
3,kerosene,110,96,1.5,67,245.8,22352,0
2,kerosene,10,109,14.9,34,314.95,21212,1
3,thinner,150,93,4,22,269.15,21975,0
6,lpg,170,92,4.2,23,242.6,21977,1
1,kerosene,140,92,4.5,40,271.6,84991,0
5,kerosene,190,91,2.5,20,255.05,84519A,0
5,thinner,60,104,12,20,309.2,85183B,1
1,gasoline,130,91,5.6,13,272.05,85071B,0
7,lpg,180,96,0,70,254.8,21931,0
2,gasoline,10,110,15.4,48,319.5,21929,1
6,lpg,80,96,2,67,264.8,22961,0
5,gasoline,120,102,7.9,17,306.1,22139,1
3,thinner,140,86,5.4,17,260.3,84854,1
5,thinner,30,89,11.3,7,263.95,22411,1
7,lpg,140,89,5.6,15,254.95,82567,1
2,gasoline,170,92,3.8,22,266.6,21672,0
6,lpg,80,106,12.2,30,293.3,22774,1
5,kerosene,100,102,4.9,51,276.1,22771,0
4,kerosene,40,90,10,12,246.5,71270,1
3,gasoline,80,106,12.3,33,316.3,22262,1
3,kerosene,100,104,8.6,46,313.2,22637,0
2,kerosene,10,106,15.1,18,282.3,21934,1
4,kerosene,60,90,9.6,12,237.5,21169,1
1,gasoline,40,88,12,19,258.4,21166,1
